=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.30 10:11:48 =~=~=~=~=~=~=~=~=~=~=~=
        
############################################

 ###    Data Capture for AIDrawPen     #### 

  ####    github.com/Ijnaka22len     ##### 

   ####    Leonel Akanji Akanji    ##### 

     #################################  


AccelerometerX,AccelerometerY,AccelerometerZ

-,-,-
471.0,129.0,995.0
591.0,153.0,1112.0
532.0,-17.0,905.0
385.0,300.0,775.0
414.0,361.0,993.0
416.0,81.0,1136.0
1207.0,102.0,857.0
1358.0,-126.0,1021.0
1476.0,-197.0,758.0
1363.0,93.0,169.0
1636.0,115.0,-79.0
1452.0,4.0,-200.0
941.0,-11.0,-301.0
546.0,-34.0,-214.0
369.0,11.0,-147.0
274.0,6.0,-54.0
237.0,-40.0,169.0
92.0,194.0,280.0
-99.0,383.0,382.0
-443.0,526.0,778.0
-660.0,254.0,1189.0
-968.0,397.0,1302.0
-798.0,504.0,1118.0
-699.0,510.0,1096.0
-471.0,368.0,1075.0
-221.0,202.0,1124.0
-22.0,16.0,992.0
442.0,-103.0,895.0
413.0,-355.0,972.0
732.0,-411.0,783.0
868.0,-514.0,800.0
1057.0,-270.0,425.0
1287.0,-426.0,627.0
1163.0,-224.0,388.0
1147.0,-475.0,769.0
1099.0,-394.0,791.0
925.0,-627.0,1196.0
833.0,-683.0,1371.0
267.0,-666.0,1387.0
-173.0,-619.0,1601.0
-694.0,-420.0,1541.0
-624.0,-327.0,1563.0
-350.0,31.0,1104.0
57.0,81.0,992.0
230.0,55.0,1005.0
485.0,107.0,895.0
658.0,199.0,749.0
734.0,191.0,673.0
624.0,118.0,587.0
849.0,-15.0,563.0
668.0,-1.0,302.0

-,-,-
1088.0,-67.0,843.0
925.0,119.0,535.0
879.0,200.0,619.0
1256.0,95.0,633.0
1281.0,17.0,633.0
1009.0,3.0,502.0
950.0,99.0,351.0
660.0,-6.0,240.0
290.0,15.0,236.0
-143.0,56.0,239.0
-682.0,160.0,368.0
-750.0,139.0,768.0
-871.0,248.0,933.0
-797.0,428.0,987.0
-680.0,461.0,1037.0
-412.0,368.0,1076.0
-313.0,93.0,1160.0
-57.0,-17.0,968.0
188.0,-390.0,1083.0
707.0,-526.0,896.0
1200.0,-595.0,865.0
1063.0,-628.0,913.0
1073.0,-617.0,703.0
979.0,-782.0,758.0
1156.0,-667.0,718.0
932.0,-699.0,773.0
471.0,-687.0,991.0
-56.0,-623.0,1326.0
-377.0,-517.0,1453.0
-696.0,-521.0,1626.0
-451.0,-256.0,1396.0
-160.0,-57.0,1184.0
-3.0,-130.0,1307.0
-29.0,-32.0,1048.0
43.0,0.0,963.0
419.0,72.0,847.0
384.0,140.0,651.0
549.0,104.0,719.0
565.0,93.0,538.0
781.0,-30.0,660.0
713.0,55.0,516.0
546.0,63.0,497.0

-,-,-
1035.0,44.0,845.0
896.0,159.0,582.0
738.0,155.0,636.0
882.0,94.0,623.0
873.0,187.0,600.0
880.0,163.0,590.0
676.0,159.0,566.0
768.0,149.0,505.0
274.0,114.0,637.0
222.0,247.0,440.0
-261.0,234.0,532.0
-356.0,298.0,532.0
-415.0,299.0,656.0
-516.0,332.0,853.0
