=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.29 19:25:25 =~=~=~=~=~=~=~=~=~=~=~=
 
############################################

 ###    Data Capture for AIDrawPen     #### 

  ####    github.com/Ijnaka22len     ##### 

   ####    Leonel Akanji Akanji    ##### 

     #################################  


AccelerometerX,AccelerometerY,AccelerometerZ

-,-,-
-187.0,-379.0,993.0
-339.0,-369.0,935.0
-224.0,-357.0,1001.0
-62.0,-521.0,1335.0
-89.0,-497.0,1464.0
-225.0,-591.0,1707.0
-639.0,-502.0,1584.0
-1072.0,-473.0,1347.0
-1137.0,-209.0,854.0
-956.0,-16.0,569.0
-605.0,100.0,320.0
-417.0,145.0,145.0
-128.0,163.0,27.0
85.0,129.0,-159.0
353.0,-7.0,-104.0
372.0,-140.0,-143.0
601.0,-367.0,38.0
354.0,-273.0,-44.0
619.0,-852.0,464.0
517.0,-781.0,387.0
624.0,-1170.0,604.0
333.0,-1556.0,1097.0
484.0,-1875.0,1385.0
188.0,-2000.0,1905.0
-102.0,-1766.0,1647.0
-797.0,-1447.0,1467.0
-1124.0,-914.0,1189.0
-1549.0,-761.0,1120.0
-1544.0,-390.0,790.0
-1454.0,-179.0,529.0
-913.0,-98.0,354.0
-631.0,-103.0,313.0
-251.0,-110.0,182.0
106.0,-233.0,355.0

-,-,-
-707.0,0.0,1004.0
-541.0,145.0,688.0
-385.0,220.0,576.0
-461.0,182.0,422.0
-442.0,194.0,386.0
-327.0,194.0,190.0
70.0,168.0,105.0
26.0,-1.0,111.0
303.0,-202.0,296.0
387.0,-167.0,256.0
590.0,-523.0,524.0
579.0,-320.0,508.0
706.0,-536.0,504.0
708.0,-611.0,845.0
434.0,-753.0,656.0
446.0,-822.0,915.0
315.0,-1117.0,860.0
305.0,-1302.0,1117.0
270.0,-1316.0,1277.0
112.0,-1429.0,1364.0
-150.0,-1362.0,1507.0
-486.0,-1383.0,1622.0
-724.0,-1049.0,1482.0
-1000.0,-952.0,1467.0
-991.0,-674.0,1208.0
-814.0,-618.0,1230.0
-773.0,-354.0,800.0
-731.0,-246.0,642.0
-657.0,-247.0,681.0
-400.0,-98.0,494.0
-235.0,-52.0,414.0
-168.0,1.0,321.0
64.0,-12.0,249.0
221.0,62.0,137.0

-,-,-
-218.0,186.0,974.0
-282.0,195.0,912.0
-293.0,250.0,694.0
-177.0,182.0,556.0
-166.0,129.0,497.0
28.0,29.0,535.0
98.0,57.0,329.0
347.0,-126.0,547.0
402.0,-57.0,406.0
586.0,-381.0,800.0
595.0,-316.0,819.0
415.0,-455.0,597.0
600.0,-494.0,986.0
529.0,-776.0,1133.0
388.0,-668.0,803.0
274.0,-863.0,1107.0
266.0,-874.0,1189.0
114.0,-1052.0,1518.0
-164.0,-1042.0,1590.0
-374.0,-729.0,1430.0
-440.0,-712.0,1394.0
-625.0,-623.0,1329.0
-652.0,-470.0,1232.0
-616.0,-389.0,1172.0
-814.0,-479.0,1121.0
-891.0,-289.0,841.0
-627.0,-207.0,834.0
-435.0,-163.0,653.0
-375.0,-77.0,440.0
-188.0,42.0,468.0
-75.0,114.0,354.0
-31.0,123.0,267.0
168.0,-71.0,382.0
