=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.29 23:21:22 =~=~=~=~=~=~=~=~=~=~=~=
 
############################################

 ###    Data Capture for AIDrawPen     #### 

  ####    github.com/Ijnaka22len     ##### 

   ####    Leonel Akanji Akanji    ##### 

     #################################  


AccelerometerX,AccelerometerY,AccelerometerZ

-,-,-
113.0,144.0,1115.0
-103.0,189.0,712.0
54.0,203.0,731.0
166.0,-57.0,700.0
-51.0,123.0,592.0
-29.0,45.0,551.0
227.0,-62.0,709.0
25.0,190.0,601.0
23.0,-86.0,808.0
-175.0,94.0,703.0
63.0,-410.0,1371.0
-248.0,-376.0,1366.0
140.0,-596.0,1781.0
122.0,-593.0,1737.0
259.0,-410.0,1477.0
476.0,-350.0,1307.0
219.0,-432.0,1127.0
31.0,-336.0,1022.0
-327.0,-218.0,765.0
-321.0,-207.0,867.0
-444.0,-75.0,699.0
-833.0,-198.0,801.0
-779.0,43.0,587.0
-964.0,-146.0,761.0
-744.0,-116.0,882.0
-417.0,-28.0,948.0
-250.0,-109.0,1003.0
-161.0,-142.0,956.0
-144.0,-222.0,1035.0
-52.0,-230.0,944.0

-,-,-
-80.0,188.0,809.0
-82.0,162.0,874.0
17.0,89.0,704.0
-62.0,191.0,544.0
-30.0,64.0,449.0
24.0,4.0,510.0
-146.0,169.0,533.0
11.0,-50.0,766.0
-196.0,31.0,857.0
-15.0,60.0,915.0
-145.0,-106.0,1301.0
-273.0,14.0,822.0
117.0,-411.0,1561.0
-164.0,-296.0,1354.0
289.0,-262.0,1486.0
23.0,-338.0,1451.0
48.0,-345.0,1502.0
165.0,-315.0,1384.0
154.0,-273.0,1238.0
175.0,-280.0,1114.0
86.0,-226.0,945.0
-65.0,-206.0,771.0
-437.0,-232.0,651.0
-864.0,-240.0,687.0
-872.0,-206.0,741.0
-529.0,-91.0,849.0
-372.0,-67.0,864.0

-,-,-
15.0,89.0,832.0
-23.0,147.0,910.0
-41.0,114.0,779.0
-22.0,116.0,660.0
-80.0,121.0,667.0
26.0,49.0,605.0
-94.0,174.0,549.0
-52.0,-79.0,707.0
-15.0,197.0,734.0
-5.0,19.0,814.0
50.0,10.0,974.0
-55.0,144.0,1061.0
-69.0,-311.0,1337.0
-182.0,-81.0,1015.0
-83.0,-146.0,1463.0
-72.0,-191.0,1305.0
-131.0,-382.0,1574.0
-212.0,-375.0,1504.0
-121.0,-239.0,1040.0
90.0,-260.0,1055.0
151.0,-190.0,911.0
330.0,-204.0,974.0
254.0,-194.0,959.0
217.0,-242.0,1004.0
321.0,-179.0,991.0
76.0,-146.0,932.0
-63.0,-196.0,870.0
-456.0,-210.0,846.0
-658.0,-187.0,779.0
-594.0,-178.0,882.0
-403.0,-268.0,1066.0

-,-,-
122.0,150.0,989.0
101.0,176.0,779.0
102.0,158.0,738.0
37.0,38.0,633.0
-20.0,143.0,544.0
83.0,8.0,640.0
-41.0,149.0,486.0
-32.0,171.0,495.0
264.0,-66.0,947.0
0.0,84.0,730.0
355.0,-150.0,1219.0
-157.0,-103.0,1045.0
57.0,-410.0,1385.0
-59.0,-448.0,1618.0
-70.0,-645.0,1855.0
-46.0,-601.0,1720.0
