=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.29 23:07:56 =~=~=~=~=~=~=~=~=~=~=~=
 
############################################

 ###    Data Capture for AIDrawPen     #### 

  ####    github.com/Ijnaka22len     ##### 

   ####    Leonel Akanji Akanji    ##### 

     #################################  


AccelerometerX,AccelerometerY,AccelerometerZ

-,-,-
-332.0,303.0,1038.0
-304.0,141.0,998.0
-269.0,221.0,869.0
-310.0,172.0,985.0
-318.0,252.0,863.0
-386.0,339.0,680.0
-468.0,359.0,505.0
-361.0,397.0,-41.0
-259.0,322.0,-235.0
-437.0,317.0,-471.0
-331.0,-225.0,-134.0
-117.0,-314.0,291.0
-457.0,-817.0,870.0
-187.0,-1330.0,1814.0
-331.0,-1234.0,1704.0
119.0,-1600.0,1999.0
385.0,-1391.0,1999.0
270.0,-611.0,964.0
327.0,-519.0,775.0
446.0,-500.0,676.0
404.0,-602.0,746.0
432.0,-710.0,788.0
378.0,-643.0,758.0
397.0,-803.0,963.0
-16.0,-795.0,848.0
-334.0,-742.0,781.0
-900.0,-582.0,689.0
-1334.0,-251.0,555.0
-1386.0,-279.0,762.0
-1019.0,-128.0,941.0
-723.0,-140.0,1137.0
-477.0,-272.0,1368.0
-378.0,-255.0,1371.0
-371.0,-446.0,1484.0
-90.0,-197.0,1213.0
176.0,57.0,1136.0
181.0,-282.0,1144.0
446.0,-53.0,893.0
235.0,-178.0,615.0
212.0,-124.0,537.0
458.0,27.0,347.0

-,-,-
-232.0,86.0,840.0
-219.0,57.0,970.0
-248.0,93.0,872.0
-312.0,95.0,803.0
-340.0,61.0,560.0
-375.0,279.0,251.0
-248.0,212.0,368.0
-245.0,61.0,365.0
-184.0,147.0,499.0
-174.0,-134.0,618.0
-440.0,-6.0,608.0
-320.0,-491.0,835.0
-551.0,-362.0,824.0
-261.0,-706.0,961.0
-302.0,-963.0,1357.0
-278.0,-1058.0,1435.0
-138.0,-1366.0,1655.0
-253.0,-972.0,1254.0
-149.0,-922.0,1089.0
-40.0,-848.0,905.0
54.0,-818.0,856.0
108.0,-780.0,787.0
150.0,-796.0,827.0
46.0,-672.0,773.0
-50.0,-743.0,875.0
-268.0,-572.0,748.0
-245.0,-488.0,808.0
-484.0,-301.0,694.0
-792.0,-240.0,635.0
-971.0,-97.0,561.0
-797.0,15.0,633.0
-580.0,-70.0,841.0
-442.0,-101.0,980.0
-358.0,-211.0,1126.0
-486.0,-191.0,1166.0
-573.0,-237.0,1195.0
-467.0,-293.0,1242.0
-489.0,-251.0,1133.0
-503.0,-182.0,1012.0
-291.0,-182.0,921.0
-147.0,-158.0,843.0
88.0,-437.0,976.0
-33.0,-330.0,662.0
377.0,-481.0,804.0
-80.0,-481.0,526.0
96.0,-158.0,395.0

-,-,-
-100.0,-79.0,907.0
-207.0,-21.0,859.0
-166.0,-39.0,852.0
-221.0,-85.0,785.0
-343.0,-97.0,576.0
-309.0,79.0,417.0
-314.0,-72.0,263.0
-461.0,107.0,284.0
-136.0,-195.0,347.0
-193.0,-175.0,477.0
-40.0,-607.0,900.0
-202.0,-518.0,953.0
-243.0,-1075.0,1390.0
-206.0,-995.0,1424.0
