=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.07.01 12:55:02 =~=~=~=~=~=~=~=~=~=~=~=
 
############################################

 ###    Data Capture for AIDrawPen     #### 

  ####    github.com/Ijnaka22len     ##### 

   ####    Leonel Akanji Akanji    ##### 

     #################################  


AccelerometerX,AccelerometerY,AccelerometerZ

-,-,-
183.0,231.0,846.0
220.0,234.0,943.0
208.0,210.0,852.0
236.0,219.0,675.0
272.0,153.0,565.0
307.0,118.0,232.0
244.0,154.0,250.0
333.0,18.0,260.0
294.0,-214.0,460.0
66.0,-141.0,415.0
-25.0,-685.0,929.0
-168.0,-786.0,1120.0
-199.0,-1119.0,1497.0
-145.0,-1147.0,1502.0
63.0,-877.0,1259.0
101.0,-851.0,1238.0
397.0,-1027.0,1429.0
201.0,-1088.0,1331.0
116.0,-1114.0,1210.0
175.0,-1095.0,1195.0
235.0,-919.0,1104.0
157.0,-829.0,1107.0
97.0,-607.0,940.0
98.0,-269.0,632.0
-47.0,-234.0,620.0
-216.0,-110.0,375.0
-190.0,105.0,245.0
-398.0,-62.0,477.0
-317.0,-48.0,526.0
-493.0,-97.0,415.0

-,-,-
269.0,338.0,408.0
371.0,272.0,659.0
211.0,87.0,707.0
388.0,43.0,632.0
342.0,129.0,558.0
282.0,37.0,398.0
188.0,-26.0,748.0
201.0,-142.0,684.0
65.0,-287.0,875.0
166.0,-256.0,992.0
-173.0,-624.0,1025.0
41.0,-573.0,1032.0
135.0,-574.0,1287.0
-102.0,-873.0,1204.0
203.0,-1054.0,1774.0
310.0,-1069.0,1848.0
294.0,-874.0,1558.0
399.0,-646.0,1241.0
349.0,-595.0,1212.0
339.0,-459.0,1081.0
264.0,-396.0,975.0
88.0,-424.0,904.0
33.0,-317.0,875.0
-31.0,-263.0,795.0
-112.0,-208.0,622.0
-217.0,-23.0,473.0
-241.0,10.0,421.0
-170.0,115.0,358.0

-,-,-
261.0,175.0,690.0
346.0,249.0,480.0
330.0,183.0,506.0
286.0,67.0,353.0
381.0,80.0,405.0
162.0,0.0,195.0
179.0,-104.0,452.0
257.0,-313.0,509.0
16.0,-644.0,649.0
40.0,-802.0,1000.0
-80.0,-1331.0,1581.0
103.0,-1037.0,1600.0
138.0,-1226.0,1818.0
229.0,-1182.0,1845.0
102.0,-878.0,1415.0
72.0,-703.0,1090.0
124.0,-641.0,1036.0
236.0,-637.0,1090.0
305.0,-542.0,998.0
187.0,-492.0,923.0
157.0,-425.0,956.0
80.0,-428.0,901.0
9.0,-332.0,822.0
-33.0,-225.0,768.0
5.0,-110.0,697.0
-136.0,-91.0,756.0
-249.0,-80.0,680.0
-426.0,9.0,495.0
-575.0,170.0,329.0
-532.0,69.0,515.0

-,-,-
271.0,235.0,781.0
280.0,163.0,708.0
300.0,208.0,721.0
306.0,177.0,575.0
257.0,1.0,521.0
408.0,250.0,525.0
272.0,21.0,539.0
120.0,-47.0,613.0
264.0,9.0,718.0
128.0,-253.0,726.0
112.0,-46.0,711.0
62.0,-554.0,1033.0
-86.0,-484.0,985.0
105.0,-886.0,1502.0
74.0,-861.0,1531.0
191.0,-720.0,1461.0
281.0,-781.0,1497.0
